Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-08
Horizontal Delay,2.71292e-07
Sample Interval,8e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,2.76
,
,
,
Label,
TIME,CH1
-1.287e-07,-2.22045e-16
-1.279e-07,0.02
-1.271e-07,-2.22045e-16
-1.263e-07,-2.22045e-16
-1.255e-07,-2.22045e-16
-1.247e-07,-2.22045e-16
-1.239e-07,0.02
-1.231e-07,-2.22045e-16
-1.223e-07,-2.22045e-16
-1.215e-07,-2.22045e-16
-1.207e-07,-2.22045e-16
-1.199e-07,0.02
-1.191e-07,-2.22045e-16
-1.183e-07,-2.22045e-16
-1.175e-07,-2.22045e-16
-1.167e-07,0.02
-1.159e-07,0.02
-1.151e-07,-2.22045e-16
-1.143e-07,-2.22045e-16
-1.135e-07,-2.22045e-16
-1.127e-07,-2.22045e-16
-1.119e-07,-2.22045e-16
-1.111e-07,-2.22045e-16
-1.103e-07,-2.22045e-16
-1.095e-07,-2.22045e-16
-1.087e-07,-2.22045e-16
-1.079e-07,0.02
-1.071e-07,-2.22045e-16
-1.063e-07,-2.22045e-16
-1.055e-07,-2.22045e-16
-1.047e-07,0.02
-1.039e-07,0.02
-1.031e-07,-2.22045e-16
-1.023e-07,-2.22045e-16
-1.015e-07,-2.22045e-16
-1.007e-07,-2.22045e-16
-9.991e-08,-2.22045e-16
-9.911e-08,-2.22045e-16
-9.831e-08,-2.22045e-16
-9.751e-08,0.02
-9.671e-08,-2.22045e-16
-9.591e-08,-0.02
-9.511e-08,-2.22045e-16
-9.431e-08,-2.22045e-16
-9.351e-08,-2.22045e-16
-9.271e-08,-2.22045e-16
-9.191e-08,0.02
-9.111e-08,-2.22045e-16
-9.031e-08,-2.22045e-16
-8.951e-08,-2.22045e-16
-8.871e-08,0.02
-8.791e-08,-2.22045e-16
-8.711e-08,0.02
-8.631e-08,-2.22045e-16
-8.551e-08,0.02
-8.471e-08,-2.22045e-16
-8.391e-08,-2.22045e-16
-8.311e-08,-2.22045e-16
-8.231e-08,0.02
-8.151e-08,-2.22045e-16
-8.071e-08,-2.22045e-16
-7.991e-08,-2.22045e-16
-7.911e-08,-2.22045e-16
-7.831e-08,0.02
-7.751e-08,-2.22045e-16
-7.671e-08,0.02
-7.591e-08,0.02
-7.511e-08,-2.22045e-16
-7.431e-08,-2.22045e-16
-7.351e-08,-0.02
-7.271e-08,-2.22045e-16
-7.191e-08,-2.22045e-16
-7.111e-08,-2.22045e-16
-7.031e-08,-2.22045e-16
-6.951e-08,-2.22045e-16
-6.871e-08,-2.22045e-16
-6.791e-08,-2.22045e-16
-6.711e-08,-2.22045e-16
-6.631e-08,-2.22045e-16
-6.551e-08,-2.22045e-16
-6.471e-08,-2.22045e-16
-6.391e-08,-2.22045e-16
-6.311e-08,-2.22045e-16
-6.231e-08,-2.22045e-16
-6.151e-08,-2.22045e-16
-6.071e-08,-2.22045e-16
-5.991e-08,-2.22045e-16
-5.911e-08,-2.22045e-16
-5.831e-08,-2.22045e-16
-5.751e-08,-2.22045e-16
-5.671e-08,-2.22045e-16
-5.591e-08,-2.22045e-16
-5.511e-08,-2.22045e-16
-5.431e-08,-2.22045e-16
-5.351e-08,-2.22045e-16
-5.271e-08,-2.22045e-16
-5.191e-08,-2.22045e-16
-5.111e-08,0.02
-5.031e-08,-2.22045e-16
-4.951e-08,0.02
-4.871e-08,-2.22045e-16
-4.791e-08,-2.22045e-16
-4.711e-08,-2.22045e-16
-4.631e-08,0.02
-4.551e-08,-2.22045e-16
-4.471e-08,0.02
-4.391e-08,-2.22045e-16
-4.311e-08,-2.22045e-16
-4.231e-08,0.02
-4.151e-08,-2.22045e-16
-4.071e-08,-0.02
-3.991e-08,0.02
-3.911e-08,-2.22045e-16
-3.831e-08,-2.22045e-16
-3.751e-08,-2.22045e-16
-3.671e-08,-0.02
-3.591e-08,-2.22045e-16
-3.511e-08,-2.22045e-16
-3.431e-08,-0.02
-3.351e-08,-2.22045e-16
-3.271e-08,-2.22045e-16
-3.191e-08,-2.22045e-16
-3.111e-08,0.02
-3.031e-08,-2.22045e-16
-2.951e-08,-2.22045e-16
-2.871e-08,-2.22045e-16
-2.791e-08,0.02
-2.711e-08,-2.22045e-16
-2.631e-08,-2.22045e-16
-2.551e-08,-2.22045e-16
-2.471e-08,-2.22045e-16
-2.391e-08,0.02
-2.311e-08,-2.22045e-16
-2.231e-08,-2.22045e-16
-2.151e-08,-2.22045e-16
-2.071e-08,-2.22045e-16
-1.991e-08,-2.22045e-16
-1.911e-08,-2.22045e-16
-1.831e-08,-2.22045e-16
-1.751e-08,-2.22045e-16
-1.671e-08,-2.22045e-16
-1.591e-08,-2.22045e-16
-1.511e-08,-2.22045e-16
-1.431e-08,0.02
-1.351e-08,0.02
-1.271e-08,-2.22045e-16
-1.191e-08,-2.22045e-16
-1.111e-08,-2.22045e-16
-1.031e-08,0.02
-9.508e-09,0.02
-8.708e-09,-2.22045e-16
-7.908e-09,-2.22045e-16
-7.108e-09,-2.22045e-16
-6.308e-09,-2.22045e-16
-5.508e-09,-2.22045e-16
-4.708e-09,-2.22045e-16
-3.908e-09,0.02
-3.108e-09,-0.02
-2.308e-09,-0.1
-1.508e-09,-0.24
-7.083e-10,-0.46
9.172e-11,-0.64
8.917e-10,-0.76
1.692e-09,-0.76
2.492e-09,-0.72
3.292e-09,-0.66
4.092e-09,-0.62
4.892e-09,-0.58
5.692e-09,-0.6
6.492e-09,-0.66
7.292e-09,-0.74
8.092e-09,-0.78
8.892e-09,-0.78
9.692e-09,-0.72
1.049e-08,-0.68
1.129e-08,-0.6
1.209e-08,-0.54
1.289e-08,-0.54
1.369e-08,-0.56
1.449e-08,-0.62
1.529e-08,-0.68
1.609e-08,-0.74
1.689e-08,-0.78
1.769e-08,-0.76
1.849e-08,-0.76
1.929e-08,-0.74
2.009e-08,-0.72
2.089e-08,-0.7
2.169e-08,-0.72
2.249e-08,-0.7
2.329e-08,-0.76
2.409e-08,-0.78
2.489e-08,-0.8
2.569e-08,-0.78
2.649e-08,-0.76
2.729e-08,-0.7
2.809e-08,-0.66
2.889e-08,-0.66
2.969e-08,-0.68
3.049e-08,-0.74
3.129e-08,-0.8
3.209e-08,-0.8
3.289e-08,-0.82
3.369e-08,-0.76
3.449e-08,-0.7
3.529e-08,-0.66
3.609e-08,-0.66
3.689e-08,-0.64
3.769e-08,-0.64
3.849e-08,-0.64
3.929e-08,-0.64
4.009e-08,-0.64
4.089e-08,-0.62
4.169e-08,-0.62
4.249e-08,-0.64
4.329e-08,-0.66
4.409e-08,-0.66
4.489e-08,-0.68
4.569e-08,-0.64
4.649e-08,-0.6
4.729e-08,-0.58
4.809e-08,-0.58
4.889e-08,-0.62
4.969e-08,-0.62
5.049e-08,-0.64
5.129e-08,-0.64
5.209e-08,-0.64
5.289e-08,-0.64
5.369e-08,-0.62
5.449e-08,-0.58
5.529e-08,-0.58
5.609e-08,-0.6
5.689e-08,-0.6
5.769e-08,-0.64
5.849e-08,-0.66
5.929e-08,-0.66
6.009e-08,-0.66
6.089e-08,-0.66
6.169e-08,-0.72
6.249e-08,-0.72
6.329e-08,-0.72
6.409e-08,-0.7
6.489e-08,-0.68
6.569e-08,-0.7
6.649e-08,-0.72
6.729e-08,-0.74
6.809e-08,-0.74
6.889e-08,-0.72
6.969e-08,-0.68
7.049e-08,-0.68
7.129e-08,-0.7
7.209e-08,-0.68
7.289e-08,-0.66
7.369e-08,-0.68
7.449e-08,-0.7
7.529e-08,-0.7
7.609e-08,-0.72
7.689e-08,-0.68
7.769e-08,-0.68
7.849e-08,-0.64
7.929e-08,-0.64
8.009e-08,-0.64
8.089e-08,-0.66
8.169e-08,-0.66
8.249e-08,-0.68
8.329e-08,-0.68
8.409e-08,-0.68
8.489e-08,-0.66
8.569e-08,-0.66
8.649e-08,-0.68
8.729e-08,-0.72
8.809e-08,-0.7
8.889e-08,-0.7
8.969e-08,-0.7
9.049e-08,-0.7
9.129e-08,-0.68
9.209e-08,-0.7
9.289e-08,-0.66
9.369e-08,-0.62
9.449e-08,-0.6
9.529e-08,-0.58
9.609e-08,-0.54
9.689e-08,-0.54
9.769e-08,-0.54
9.849e-08,-0.56
9.929e-08,-0.56
1.001e-07,-0.58
1.009e-07,-0.58
1.017e-07,-0.56
1.025e-07,-0.54
1.033e-07,-0.56
1.041e-07,-0.54
1.049e-07,-0.58
1.057e-07,-0.58
1.065e-07,-0.6
1.073e-07,-0.6
1.081e-07,-0.62
1.089e-07,-0.58
1.097e-07,-0.56
1.105e-07,-0.5
1.113e-07,-0.48
1.121e-07,-0.48
1.129e-07,-0.52
1.137e-07,-0.56
1.145e-07,-0.56
1.153e-07,-0.56
1.161e-07,-0.54
1.169e-07,-0.54
1.177e-07,-0.54
1.185e-07,-0.54
1.193e-07,-0.54
1.201e-07,-0.54
1.209e-07,-0.54
1.217e-07,-0.56
1.225e-07,-0.58
1.233e-07,-0.56
1.241e-07,-0.56
1.249e-07,-0.56
1.257e-07,-0.56
1.265e-07,-0.56
1.273e-07,-0.54
1.281e-07,-0.52
1.289e-07,-0.52
1.297e-07,-0.52
1.305e-07,-0.52
1.313e-07,-0.5
1.321e-07,-0.48
1.329e-07,-0.48
1.337e-07,-0.44
1.345e-07,-0.44
1.353e-07,-0.44
1.361e-07,-0.42
1.369e-07,-0.46
1.377e-07,-0.48
1.385e-07,-0.5
1.393e-07,-0.54
1.401e-07,-0.56
1.409e-07,-0.56
1.417e-07,-0.54
1.425e-07,-0.5
1.433e-07,-0.48
1.441e-07,-0.5
1.449e-07,-0.5
1.457e-07,-0.52
1.465e-07,-0.52
1.473e-07,-0.52
1.481e-07,-0.54
1.489e-07,-0.54
1.497e-07,-0.52
1.505e-07,-0.5
1.513e-07,-0.48
1.521e-07,-0.5
1.529e-07,-0.54
1.537e-07,-0.6
1.545e-07,-0.58
1.553e-07,-0.58
1.561e-07,-0.56
1.569e-07,-0.52
1.577e-07,-0.52
1.585e-07,-0.5
1.593e-07,-0.5
1.601e-07,-0.5
1.609e-07,-0.48
1.617e-07,-0.46
1.625e-07,-0.48
1.633e-07,-0.52
1.641e-07,-0.52
1.649e-07,-0.54
1.657e-07,-0.54
1.665e-07,-0.5
1.673e-07,-0.46
1.681e-07,-0.46
1.689e-07,-0.42
1.697e-07,-0.44
1.705e-07,-0.44
1.713e-07,-0.44
1.721e-07,-0.46
1.729e-07,-0.48
1.737e-07,-0.54
1.745e-07,-0.56
1.753e-07,-0.54
1.761e-07,-0.5
1.769e-07,-0.46
1.777e-07,-0.44
1.785e-07,-0.42
1.793e-07,-0.42
1.801e-07,-0.4
1.809e-07,-0.38
1.817e-07,-0.38
1.825e-07,-0.4
1.833e-07,-0.42
1.841e-07,-0.46
1.849e-07,-0.46
1.857e-07,-0.46
1.865e-07,-0.42
1.873e-07,-0.38
1.881e-07,-0.38
1.889e-07,-0.4
1.897e-07,-0.44
1.905e-07,-0.48
1.913e-07,-0.48
1.921e-07,-0.48
1.929e-07,-0.46
1.937e-07,-0.46
1.945e-07,-0.44
1.953e-07,-0.4
1.961e-07,-0.38
1.969e-07,-0.38
1.977e-07,-0.36
1.985e-07,-0.38
1.993e-07,-0.38
2.001e-07,-0.36
2.009e-07,-0.32
2.017e-07,-0.32
2.025e-07,-0.36
2.033e-07,-0.38
2.041e-07,-0.44
