Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-08
Horizontal Delay,2.71292e-07
Sample Interval,8e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,2.76
,
,
,
Label,
TIME,CH1
-1.287e-07,-4.44089e-17
-1.279e-07,-0.004
-1.271e-07,-4.44089e-17
-1.263e-07,-4.44089e-17
-1.255e-07,-4.44089e-17
-1.247e-07,-4.44089e-17
-1.239e-07,-4.44089e-17
-1.231e-07,-4.44089e-17
-1.223e-07,-4.44089e-17
-1.215e-07,-4.44089e-17
-1.207e-07,-4.44089e-17
-1.199e-07,-0.004
-1.191e-07,-4.44089e-17
-1.183e-07,0.004
-1.175e-07,-4.44089e-17
-1.167e-07,-4.44089e-17
-1.159e-07,-0.004
-1.151e-07,-0.004
-1.143e-07,-4.44089e-17
-1.135e-07,0.004
-1.127e-07,-4.44089e-17
-1.119e-07,-4.44089e-17
-1.111e-07,-4.44089e-17
-1.103e-07,-4.44089e-17
-1.095e-07,-4.44089e-17
-1.087e-07,-4.44089e-17
-1.079e-07,-0.004
-1.071e-07,-4.44089e-17
-1.063e-07,-4.44089e-17
-1.055e-07,-4.44089e-17
-1.047e-07,-4.44089e-17
-1.039e-07,-4.44089e-17
-1.031e-07,-4.44089e-17
-1.023e-07,-4.44089e-17
-1.015e-07,-4.44089e-17
-1.007e-07,-4.44089e-17
-9.991e-08,-4.44089e-17
-9.911e-08,-4.44089e-17
-9.831e-08,-4.44089e-17
-9.751e-08,-4.44089e-17
-9.671e-08,-4.44089e-17
-9.591e-08,0.004
-9.511e-08,-4.44089e-17
-9.431e-08,-4.44089e-17
-9.351e-08,-4.44089e-17
-9.271e-08,-4.44089e-17
-9.191e-08,-4.44089e-17
-9.111e-08,-4.44089e-17
-9.031e-08,-4.44089e-17
-8.951e-08,-4.44089e-17
-8.871e-08,-0.004
-8.791e-08,-4.44089e-17
-8.711e-08,-4.44089e-17
-8.631e-08,-4.44089e-17
-8.551e-08,-4.44089e-17
-8.471e-08,-0.004
-8.391e-08,-4.44089e-17
-8.311e-08,-4.44089e-17
-8.231e-08,-4.44089e-17
-8.151e-08,-4.44089e-17
-8.071e-08,-4.44089e-17
-7.991e-08,-4.44089e-17
-7.911e-08,-4.44089e-17
-7.831e-08,-4.44089e-17
-7.751e-08,-0.004
-7.671e-08,-4.44089e-17
-7.591e-08,-4.44089e-17
-7.511e-08,-4.44089e-17
-7.431e-08,0.004
-7.351e-08,-0.004
-7.271e-08,-4.44089e-17
-7.191e-08,-0.004
-7.111e-08,-0.004
-7.031e-08,-4.44089e-17
-6.951e-08,-4.44089e-17
-6.871e-08,-4.44089e-17
-6.791e-08,-4.44089e-17
-6.711e-08,-4.44089e-17
-6.631e-08,-4.44089e-17
-6.551e-08,-4.44089e-17
-6.471e-08,-4.44089e-17
-6.391e-08,-4.44089e-17
-6.311e-08,-4.44089e-17
-6.231e-08,-4.44089e-17
-6.151e-08,-4.44089e-17
-6.071e-08,-4.44089e-17
-5.991e-08,-4.44089e-17
-5.911e-08,-4.44089e-17
-5.831e-08,-4.44089e-17
-5.751e-08,0.004
-5.671e-08,-4.44089e-17
-5.591e-08,-4.44089e-17
-5.511e-08,-4.44089e-17
-5.431e-08,-4.44089e-17
-5.351e-08,-4.44089e-17
-5.271e-08,-4.44089e-17
-5.191e-08,-4.44089e-17
-5.111e-08,-4.44089e-17
-5.031e-08,-4.44089e-17
-4.951e-08,-4.44089e-17
-4.871e-08,-4.44089e-17
-4.791e-08,-4.44089e-17
-4.711e-08,-4.44089e-17
-4.631e-08,-4.44089e-17
-4.551e-08,-4.44089e-17
-4.471e-08,-4.44089e-17
-4.391e-08,-4.44089e-17
-4.311e-08,-4.44089e-17
-4.231e-08,-4.44089e-17
-4.151e-08,-0.004
-4.071e-08,-4.44089e-17
-3.991e-08,-4.44089e-17
-3.911e-08,0.004
-3.831e-08,-4.44089e-17
-3.751e-08,0.004
-3.671e-08,-4.44089e-17
-3.591e-08,-0.004
-3.511e-08,-4.44089e-17
-3.431e-08,0.004
-3.351e-08,-4.44089e-17
-3.271e-08,-0.004
-3.191e-08,-4.44089e-17
-3.111e-08,-4.44089e-17
-3.031e-08,-4.44089e-17
-2.951e-08,-4.44089e-17
-2.871e-08,-4.44089e-17
-2.791e-08,-0.004
-2.711e-08,-4.44089e-17
-2.631e-08,0.004
-2.551e-08,-4.44089e-17
-2.471e-08,-4.44089e-17
-2.391e-08,-4.44089e-17
-2.311e-08,-4.44089e-17
-2.231e-08,-4.44089e-17
-2.151e-08,-4.44089e-17
-2.071e-08,-4.44089e-17
-1.991e-08,-4.44089e-17
-1.911e-08,-4.44089e-17
-1.831e-08,-4.44089e-17
-1.751e-08,-4.44089e-17
-1.671e-08,-4.44089e-17
-1.591e-08,-4.44089e-17
-1.511e-08,-4.44089e-17
-1.431e-08,-4.44089e-17
-1.351e-08,-4.44089e-17
-1.271e-08,-4.44089e-17
-1.191e-08,-0.004
-1.111e-08,-4.44089e-17
-1.031e-08,-4.44089e-17
-9.508e-09,-0.004
-8.708e-09,-4.44089e-17
-7.908e-09,-4.44089e-17
-7.108e-09,-4.44089e-17
-6.308e-09,-4.44089e-17
-5.508e-09,-4.44089e-17
-4.708e-09,-4.44089e-17
-3.908e-09,-0.012
-3.108e-09,-0.024
-2.308e-09,-0.08
-1.508e-09,-0.204
-7.083e-10,-0.38
9.172e-11,-0.552
8.917e-10,-0.632
1.692e-09,-0.604
2.492e-09,-0.524
3.292e-09,-0.46
4.092e-09,-0.448
4.892e-09,-0.476
5.692e-09,-0.496
6.492e-09,-0.508
7.292e-09,-0.52
8.092e-09,-0.536
8.892e-09,-0.54
9.692e-09,-0.532
1.049e-08,-0.5
1.129e-08,-0.472
1.209e-08,-0.472
1.289e-08,-0.512
1.369e-08,-0.576
1.449e-08,-0.628
1.529e-08,-0.64
1.609e-08,-0.588
1.689e-08,-0.532
1.769e-08,-0.492
1.849e-08,-0.48
1.929e-08,-0.46
2.009e-08,-0.432
2.089e-08,-0.388
2.169e-08,-0.376
2.249e-08,-0.416
2.329e-08,-0.484
2.409e-08,-0.544
2.489e-08,-0.568
2.569e-08,-0.552
2.649e-08,-0.52
2.729e-08,-0.484
2.809e-08,-0.452
2.889e-08,-0.428
2.969e-08,-0.424
3.049e-08,-0.44
3.129e-08,-0.472
3.209e-08,-0.492
3.289e-08,-0.484
3.369e-08,-0.428
3.449e-08,-0.368
3.529e-08,-0.34
3.609e-08,-0.36
3.689e-08,-0.4
3.769e-08,-0.436
3.849e-08,-0.448
3.929e-08,-0.44
4.009e-08,-0.408
4.089e-08,-0.388
4.169e-08,-0.38
4.249e-08,-0.404
4.329e-08,-0.444
4.409e-08,-0.48
4.489e-08,-0.484
4.569e-08,-0.468
4.649e-08,-0.444
4.729e-08,-0.428
4.809e-08,-0.424
4.889e-08,-0.428
4.969e-08,-0.428
5.049e-08,-0.432
5.129e-08,-0.44
5.209e-08,-0.44
5.289e-08,-0.42
5.369e-08,-0.38
5.449e-08,-0.344
5.529e-08,-0.332
5.609e-08,-0.364
5.689e-08,-0.408
5.769e-08,-0.428
5.849e-08,-0.416
5.929e-08,-0.388
6.009e-08,-0.372
6.089e-08,-0.388
6.169e-08,-0.412
6.249e-08,-0.42
6.329e-08,-0.392
6.409e-08,-0.344
6.489e-08,-0.308
6.569e-08,-0.288
6.649e-08,-0.272
6.729e-08,-0.276
6.809e-08,-0.3
6.889e-08,-0.34
6.969e-08,-0.38
7.049e-08,-0.404
7.129e-08,-0.4
7.209e-08,-0.372
7.289e-08,-0.328
7.369e-08,-0.296
7.449e-08,-0.284
7.529e-08,-0.288
7.609e-08,-0.3
7.689e-08,-0.308
7.769e-08,-0.32
7.849e-08,-0.34
7.929e-08,-0.356
8.009e-08,-0.36
8.089e-08,-0.356
8.169e-08,-0.34
8.249e-08,-0.332
8.329e-08,-0.344
8.409e-08,-0.364
8.489e-08,-0.392
8.569e-08,-0.4
8.649e-08,-0.396
8.729e-08,-0.408
8.809e-08,-0.412
8.889e-08,-0.388
8.969e-08,-0.356
9.049e-08,-0.324
9.129e-08,-0.316
9.209e-08,-0.324
9.289e-08,-0.336
9.369e-08,-0.348
9.449e-08,-0.352
9.529e-08,-0.352
9.609e-08,-0.352
9.689e-08,-0.356
9.769e-08,-0.364
9.849e-08,-0.372
9.929e-08,-0.368
1.001e-07,-0.352
1.009e-07,-0.328
1.017e-07,-0.316
1.025e-07,-0.3
1.033e-07,-0.288
1.041e-07,-0.276
1.049e-07,-0.268
1.057e-07,-0.276
1.065e-07,-0.296
1.073e-07,-0.336
1.081e-07,-0.364
1.089e-07,-0.348
1.097e-07,-0.304
1.105e-07,-0.268
1.113e-07,-0.256
1.121e-07,-0.26
1.129e-07,-0.268
1.137e-07,-0.272
1.145e-07,-0.268
1.153e-07,-0.28
1.161e-07,-0.288
1.169e-07,-0.292
1.177e-07,-0.284
1.185e-07,-0.26
1.193e-07,-0.232
1.201e-07,-0.216
1.209e-07,-0.22
1.217e-07,-0.236
1.225e-07,-0.256
1.233e-07,-0.264
1.241e-07,-0.272
1.249e-07,-0.268
1.257e-07,-0.264
1.265e-07,-0.256
1.273e-07,-0.248
1.281e-07,-0.248
1.289e-07,-0.244
1.297e-07,-0.248
1.305e-07,-0.26
1.313e-07,-0.272
1.321e-07,-0.28
1.329e-07,-0.292
1.337e-07,-0.292
1.345e-07,-0.296
1.353e-07,-0.288
1.361e-07,-0.292
1.369e-07,-0.292
1.377e-07,-0.288
1.385e-07,-0.28
1.393e-07,-0.272
1.401e-07,-0.268
1.409e-07,-0.272
1.417e-07,-0.284
1.425e-07,-0.296
1.433e-07,-0.308
1.441e-07,-0.312
1.449e-07,-0.3
1.457e-07,-0.284
1.465e-07,-0.272
1.473e-07,-0.272
1.481e-07,-0.28
1.489e-07,-0.292
1.497e-07,-0.308
1.505e-07,-0.32
1.513e-07,-0.32
1.521e-07,-0.296
1.529e-07,-0.256
1.537e-07,-0.224
1.545e-07,-0.216
1.553e-07,-0.224
1.561e-07,-0.248
1.569e-07,-0.264
1.577e-07,-0.272
1.585e-07,-0.276
1.593e-07,-0.28
1.601e-07,-0.272
1.609e-07,-0.264
1.617e-07,-0.256
1.625e-07,-0.236
1.633e-07,-0.228
1.641e-07,-0.22
1.649e-07,-0.22
1.657e-07,-0.236
1.665e-07,-0.252
1.673e-07,-0.26
1.681e-07,-0.256
1.689e-07,-0.244
1.697e-07,-0.248
1.705e-07,-0.26
1.713e-07,-0.26
1.721e-07,-0.24
1.729e-07,-0.212
1.737e-07,-0.192
1.745e-07,-0.196
1.753e-07,-0.216
1.761e-07,-0.236
1.769e-07,-0.24
1.777e-07,-0.228
1.785e-07,-0.2
1.793e-07,-0.18
1.801e-07,-0.168
1.809e-07,-0.164
1.817e-07,-0.156
1.825e-07,-0.152
1.833e-07,-0.164
1.841e-07,-0.188
1.849e-07,-0.216
1.857e-07,-0.236
1.865e-07,-0.24
1.873e-07,-0.228
1.881e-07,-0.204
1.889e-07,-0.168
1.897e-07,-0.148
1.905e-07,-0.144
1.913e-07,-0.148
1.921e-07,-0.16
1.929e-07,-0.18
1.937e-07,-0.2
1.945e-07,-0.22
1.953e-07,-0.228
1.961e-07,-0.224
1.969e-07,-0.216
1.977e-07,-0.196
1.985e-07,-0.196
1.993e-07,-0.2
2.001e-07,-0.212
