500	412.37634
501.25	427.22247
502.5	445.53268
503.75	467.85239
505	471.08368
506.25	458.14847
507.5	470.93829
508.75	518.77411
510	530.61731
511.25	564.91455
512.5	610.23883
513.75	670.21252
515	736.73206
516.25	873.0401
517.5	1107.6202
518.75	1487.8538
520	2605.0046
521.25	5329.0244
522.5	8990.3125
523.75	8245.6855
525	4314.5928
526.25	2272.4551
527.5	1377.4297
528.75	991.11462
530	781.52191
531.25	695.83472
532.5	641.72754
533.75	609.32507
535	561.61938
536.25	519.87689
537.5	486.30289
538.75	469.22604
540	458.28964
541.25	459.03561
542.5	459.62531
543.75	437.39865
545	419.77832
546.25	418.49353
547.5	420.30704
548.75	398.33633
550	408.44952
